Timestamp,How interesting is the text?,How grammatically correct is the text?,How coherent is the text?,How creative is the text?,Worker ID:
22/08/2019 11:36:34,1,2,2,4,A2QD7QFGCUNF5N
22/08/2019 11:37:38,4,3,4,4,A1G10UPKNT2YEX
22/08/2019 11:37:59,3,4,4,4,A20PV3RB3I0W8S
22/08/2019 11:39:13,4,3,3,4,A272A0JGRTBFCR
22/08/2019 11:40:26,3,2,3,5,A2YE7NBCK14VAQ
22/08/2019 11:45:07,2,3,4,4,A2SSYBUT9ZM0G9
22/08/2019 11:45:24,3,3,3,4,ASROVV61167I6
22/08/2019 11:45:58,2,2,1,4,A1KSE9KF1WP564
22/08/2019 11:50:47,4,3,4,3,A53VYIFCCASOA
22/08/2019 11:57:45,4,5,5,4,A3QI1RV4HQ9MOC
22/08/2019 12:00:03,3,2,1,4,A31Z5TPD8QKE26
22/08/2019 12:08:25,4,2,4,5,A2SY4E7MRC15MM
22/08/2019 12:13:50,5,3,3,4,A2YO837C0O1E91
22/08/2019 12:22:56,3,4,3,4,A2S75O867RJG0I
22/08/2019 12:39:00,3,4,3,4,A37M4OVE9R80G
22/08/2019 12:46:15,5,5,3,3,A1NGXQMOBCXDC3
22/08/2019 12:51:25,4,2,1,3,A10DGGOQ9N186P
22/08/2019 13:51:00,5,3,4,3,A35T6IAX6MHNHC
22/08/2019 15:21:54,3,2,2,3,AKSJ3C5O3V9RB
22/08/2019 16:20:29,3,3,1,4,
