Timestamp,Worker ID:,How interesting is the text?,How grammatically correct is the text?,How coherent is the text?,How creative is the text?
22/08/2019 16:37:14,ADAGUJNWMEPT6,2,2,2,5
22/08/2019 16:37:17,A299J4PKHAEU9H,4,3,4,3
22/08/2019 16:39:09,A18LFH7XW61JO9,4,3,3,4
22/08/2019 16:39:39,AQ53YJDPDDLZ,1,2,1,2
22/08/2019 16:40:42,APGX2WZ59OWDN,4,5,3,4
22/08/2019 16:41:14,A165AKLNGB9T3V,2,1,1,4
22/08/2019 16:44:04,A2PTDDFGATZ2ZS,4,3,3,4
22/08/2019 16:44:10,A2VX8B1CJXRN2,3,2,2,4
22/08/2019 16:44:15,A1P6OXEJ86HQRM,2,4,3,4
22/08/2019 16:44:53,AJ60KRY0FTB1F,4,4,4,5
22/08/2019 16:45:05,A37LY5UTJV2KYZ,2,1,1,4
22/08/2019 16:45:39,A22KRF782ELLB0,2,3,1,4
22/08/2019 16:45:49,A3UJO2A7THUZTV,2,2,1,4
22/08/2019 16:46:47,A1S88VQY8G8CNC,3,5,4,5
22/08/2019 16:49:12,A2IUT0610X9CV0,4,5,5,5
22/08/2019 16:49:27,A2OMWZZ5IHPJUD,2,4,1,4
22/08/2019 16:52:40,A2NJ7N8INZOB00,1,3,2,4
22/08/2019 16:55:46,A8BGHKGBA8O33,2,3,2,2
22/08/2019 16:57:17,A2BW6WD7LZ9EGV,1,3,2,3
22/08/2019 16:57:50,A27HVVLSZZ13XK,4,2,1,5
